23678,23642,23591
22263,22264,22380
2114,2241,2182
2114,2177,2241
12151,12602,12427
21684,21550,21551
22448,22339,22380
22339,22263,22380
24586,24570,24580
1827,1944,1945
2241,2314,2182
2055,2114,2182
2055,1980,2114
16449,16546,16715
23501,23463,23410
23501,23543,23591
23491,23399,23444
23452,23501,23410
23501,23452,23543
23452,23495,23543
23495,23452,23403
12315,12427,12429
12315,12151,12427
21550,21415,21551
21816,21685,21684
21685,21550,21684
22024,21947,21909
22390,22339,22448
24592,24581,24590
24586,24575,24570
24575,24558,24570
24558,24575,24564
24575,24586,24588
24590,24579,24588
24581,24579,24590
24579,24575,24588
24575,24579,24564
24579,24581,24561
24564,24579,24561
24548,24564,24561
24538,24548,24561
24524,24548,24538
24548,24524,24536
24558,24548,24536
24548,24558,24564
24492,24506,24518
24531,24506,24519
24540,24531,24519
24506,24531,24518
24532,24540,24519
24549,24558,24536
24558,24549,24570
23626,23536,23574
67,39,29
23,57,29
57,67,29
44,82,49
37,14,12
156,124,180
124,156,105
124,70,83
70,124,105
554,468,495
468,554,528
746,657,700
883,926,981
300,372,332
254,300,332
801,849,898
801,756,849
850,801,898
801,850,756
758,805,847
662,615,701
849,946,898
1146,1094,1199
1094,1149,1199
1149,1094,1045
1420,1477,1532
2457,2327,2393
5160,5239,5080
2650,2523,2589
1945,2041,2063
1944,2041,1945
2513,2523,2392
2523,2513,2589
1356,1457,1423
1536,1533,1423
1457,1536,1423
1640,1736,1709
1847,1769,1738
2177,2304,2241
16546,16616,16715
16616,16546,16457
16544,16616,16457
16374,16546,16449
16546,16374,16457
16985,17063,17151
17320,17142,17237
16544,16372,16460
16372,16544,16457
14600,14760,14692
14679,14600,14508
14600,14679,14760
23501,23551,23463
23642,23551,23591
23551,23501,23591
22771,22528,22602
23315,23274,23218
23448,23491,23539
23448,23399,23491
23495,23448,23539
23448,23495,23403
23452,23359,23403
23315,23359,23410
23359,23452,23410
19568,19645,19731
17133,16963,17048
16898,16985,16859
16985,16898,17063
15591,15671,15761
15671,15839,15761
15839,15935,15761
15839,16011,15935
15246,15351,15332
15332,15351,15443
21415,21414,21551
21751,21685,21816
22037,22024,22145
22024,22037,21947
22263,22153,22264
22090,22153,22263
22153,22145,22264
22153,22037,22145
22037,22153,22090
22339,22271,22263
22390,22271,22339
22558,22663,22612
22724,22663,22730
22663,22724,22612
22558,22498,22556
22498,22448,22556
22498,22390,22448
23153,23068,23087
18051,18212,18131
23919,23872,23944
24028,24052,24104
23975,24011,23944
24052,23975,23934
23975,24052,24011
23791,23832,23758
23666,23625,23700
22826,22724,22730
22724,22694,22612
24472,24488,24518
24472,24442,24457
24513,24524,24538
24189,24132,24163
24189,24244,24217
24161,24189,24217
